INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE MARINGA
Liquidações pagas
Gerado em: 08/07/2025 20:08 com 145 registros.

Entidade;Fonte Recurso;Data Liquidação;Liquidação;Empenho;Fornecedor;Tipo Licitação;Licitação;Notas Fiscais;Valor;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/06/2025;1;157/2025;00.394.460/0143-63 - RECEITA FEDERAL;Dispensavel;/;;26,24;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/06/2025;1;156/2025;00.394.460/0143-63 - RECEITA FEDERAL;Dispensavel;/;;57,81;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/06/2025;1;155/2025;00.394.460/0143-63 - RECEITA FEDERAL;Dispensavel;/;;2,89;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/06/2025;1;154/2025;29.979.036/0184-30 - INSTITUTO NACIONAL DO SEGURO SOCIAL;Dispensavel;/;;109,5;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/06/2025;1;153/2025;29.979.036/0184-30 - INSTITUTO NACIONAL DO SEGURO SOCIAL;Dispensavel;/;;2.189,96;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/06/2025;1;151/2025;78.074.804/0001-22 - MARINGA PREVIDENCIA - FUNDO FINANCEIRO;Dispensavel;/;;1.540,18;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/06/2025;1;150/2025;78.074.804/0001-22 - MARINGA PREVIDENCIA - FUNDO PREVIDENCIARIO;Dispensavel;/;;24.150,65;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/06/2025;1;139/2025;01.225.861/0001-30 - REGIUS - SOCIEDADE CIVIL DE PREVIDENCIA PRIVADA;Dispensavel;/;;402,27;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/06/2025;1;112/2025;01.225.861/0001-30 - REGIUS - SOCIEDADE CIVIL DE PREVIDENCIA PRIVADA;Dispensavel;/;;402,27;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/06/2025;12;19/2025;00.000.000/0001-91 - BANCO DO BRASIL SA;Dispensavel;/;;75,6;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/06/2025;13;19/2025;00.000.000/0001-91 - BANCO DO BRASIL SA;Dispensavel;/;;46,8;
15;1001 - Recursos do Tesouro (Descentralizados) ;27/06/2025;1;152/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;9.768,9;
15;1001 - Recursos do Tesouro (Descentralizados) ;27/06/2025;1;147/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;54.658,48;
15;1001 - Recursos do Tesouro (Descentralizados) ;27/06/2025;1;146/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;919,88;
15;1001 - Recursos do Tesouro (Descentralizados) ;27/06/2025;1;145/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;6.082,49;
15;1001 - Recursos do Tesouro (Descentralizados) ;27/06/2025;1;144/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;2.981,86;
15;1001 - Recursos do Tesouro (Descentralizados) ;27/06/2025;1;143/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;4.505,44;
15;1001 - Recursos do Tesouro (Descentralizados) ;27/06/2025;1;142/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;4.116,34;
15;1001 - Recursos do Tesouro (Descentralizados) ;27/06/2025;1;141/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;94.326,38;
15;1001 - Recursos do Tesouro (Descentralizados) ;27/06/2025;1;140/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;40.857,43;
15;1001 - Recursos do Tesouro (Descentralizados) ;23/06/2025;1;137/2025;79.118.311/0001-00 - TRANSPORTE COLETIVO CIDADE CANCAO LTDA;Proc. Inexigibilidade;1/2025;1034881;47,56;
15;1001 - Recursos do Tesouro (Descentralizados) ;23/06/2025;5;21/2025;23.876.304/0001-12 - HOSPITAL BOM SAMARITANO DE MARINGÁ S/A;Pregão;306/2021;46709;2.629,83;
15;1001 - Recursos do Tesouro (Descentralizados) ;23/06/2025;5;1/2025;00.394.460/0143-63 - RECEITA FEDERAL;Dispensavel;/;;4.523,27;
15;1001 - Recursos do Tesouro (Descentralizados) ;12/06/2025;1;134/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;7.423,68;
15;1001 - Recursos do Tesouro (Descentralizados) ;12/06/2025;1;133/2025;00.000.000/0000-00 - FOLHA DE PAGAMENTO - RESCISÃO NORMAL CLT;Dispensavel;/;;1.174,76;
15;1001 - Recursos do Tesouro (Descentralizados) ;12/06/2025;1;132/2025;00.000.000/0000-00 - FOLHA DE PAGAMENTO - RESCISÃO NORMAL CLT;Dispensavel;/;;3.740,63;
15;1001 - Recursos do Tesouro (Descentralizados) ;12/06/2025;1;131/2025;00.000.000/0000-00 - FOLHA DE PAGAMENTO - RESCISÃO NORMAL CLT;Dispensavel;/;;3.740,63;
15;1001 - Recursos do Tesouro (Descentralizados) ;12/06/2025;1;129/2025;29.979.036/0184-30 - INSTITUTO NACIONAL DO SEGURO SOCIAL;Dispensavel;/;;47,59;
15;1001 - Recursos do Tesouro (Descentralizados) ;12/06/2025;1;128/2025;29.979.036/0184-30 - INSTITUTO NACIONAL DO SEGURO SOCIAL;Dispensavel;/;;952,16;
